Fleet,Vehicle,Damage reporting date,Damage closing date,Damage category,Damage area,Damage description,Damage code +text,damage number,Priority,Safety issue,action code description,action code text,Komfortgrupp,Verkstadssignatur
F26,F26001,9/29/2015,2019-03-01,LÖPVERK,Sprickor i luftbälg hö A2,Ökat från 310mm till 360mm .   160709: Har utökats till 550 mm.,224A LUFTFJÄDER SEK737,15128566,4,Nej,INSPEKTERAT,inget fel funnet,,MUE
F26,F26001,1/21/2017,2019-03-01,LÖPVERK,Luftbälg höher boggie 5 måste bytas,5/7 var sprickan 560mm  3/8 var sprickan 710mm  Skadan är garanti på denna bälg s/n 372. Bälgen kommer att bytas i Motala när   fordonet är där. vi håller koll hur sprickan utvecklar sig.,2 LÖPVERK,17007483,4,,INSPEKTERAT,inget fel funnet,,MUÅ
F26,F26001,2/28/2017,11/28/2018,VAGN,FÖRARHYTTSDÖRRAR A2 OTÄTA,"FÖRARHYTTSDÖRRAR OTÄTA, MYCKET HÖG LJUDNIVÅ VID HÖGA FARTER.  TK (C10354945): ""Höger dörr tjuter i dörrlist i hytt A2"". /CF.",13 UTVÄNDIGA DÖRRAR OCH FOTSTEG,17021239,4,,JUSTERAD,justerad av Alstom,,XTK
F26,F26001,6/29/2017,2019-08-05,LÖPVERK,Luftbälg a1 höger måste bytas,Luftbälg till sekundärfjädring s/n:401 är garanti och kommer att bytas när   fordonet är i Motala. Håll koll på skadan undertiden och notera hur lång   sprickan är.,224A LUFTFJÄDER SEK737,17049712,4,,UTBYTT,Bälgen måste ha blivit utbytt,,MUÅ
F26,F26001,10/19/2017,2018-04-05,INREDNING,Går ej att fylla gråvatten ifrån högersida,,751 TOALETTUTRYMME,17073103,4,,DUBBLETPOST,,TOALETT,MUÅ
F26,F26001,2017-05-12,2018-04-05,VAGN,Kopplet A2 har fått en smäll. Koppelförbud.,Kopplet a2 har fått en smäll. Skyddskåpan sned och intryckt.  Får ej kopplas vare sig elektriskt eller mekaniskt. Måste bytas. Har satt på ett  skydd över. /CF.,14 DRAG-OCH STÖTINRÄTTNING,17083238,4,,DUBBLETPOST,,,XTK
F26,F26001,2018-05-01,2019-03-01,ALLMÄN FORDONSINFORMATION,Höger dörr A1 otät. Tjuter och visslar vid färd i 180km/h.,Höger dörr A1 otät. Tjuter och visslar vid färd i 180km/h.,0 ALLMÄN FORDONSINFORMATION,18001260,4,,INSPEKTERAT,inget fel funnet,,XTK
F26,F26001,1/14/2018,5/24/2018,INREDNING,Alkolåset A2 ostabil funktion  man blåser rött oprovocerat  måst,"Alkolåset A2 ostabil funktion, man blåser rött oprovocerat, måste vänta på   Time-out. Inskrivet tidigare.",71 INVÄNDIG UTRUSTNING,18003403,4,,DUBBLETPOST,dublett,,XTK
F26,F26001,1/20/2018,10/23/2018,HJÄLPKRAFTSSYSTEM,Kompressor a2 m2 ? Tryckvakt felaktig blåser på övertycksventil,Kompressor a2 m2 ? Tryckvakt felaktig blåser på övertycksventil puff puff osv,61 TRYCKLUFT FÖRSÖRJNING,18005209,4,,INSPEKTERAT,"AGTU utbytt i maj.1,5 milj.",,XTK
F26,F26001,1/29/2018,2018-07-06,HJÄLPKRAFTSSYSTEM,Hjälpkraftomriktardator A2 felaktig. 1829.,"Hjälpkraftomriktardstor felaktig. 1829.  TK (C10401492): ""Endast en hjälpkraftomriktare verkar vara igång. Även 0 V i   batteri A2."" /CF.  Säkring 31-F101 ""Lågspänningsomvandlare"" i A2 avstängd sedan tidigare. /CF.",63 ELEKTISK HJÄLPKRAFTSFÖRSÖRJNING,18007390,4,,DUBBLETPOST,,,XTK
F26,F26001,1/30/2018,2018-04-06,"TÅGRADIO, ATP OCH SIGNALUTRUSTNING",Balisinläsningsfel sker ofta vid 0 seltioner ATC.,Balisinläsningsfel sker ofta vid 0-seltioner ATC.  Sprickor funna i alla RC-filter motstånd. Bör bytas. /CF.,"9 TÅGRADIO, ATP OCH SIGNALUTRUSTNING",18007574,4,,PROVAD U-A,,,XTK
F26,F26001,1/31/2018,10/18/2018,VAGN,Älgkrockad vänster sida A2,Älgkrockad vänster sida A2,11 VAGNSKORG,18007909,4,,REPARERAT,,,XTK
F26,F26001,2018-12-02,2018-12-05,VAGN,Dörr 41 har väldigt högt pip. Måste sänkas en aning  skär i öron,"Dörr 41 har väldigt högt pip. Måste sänkas en aning, skär i öronen.",13 UTVÄNDIGA DÖRRAR OCH FOTSTEG,18010946,4,,PROVAD U-A,Ok,,XTK
F26,F26001,2/20/2018,2018-01-04,TRAKTIONSUTRUSTNING,Felkod 15040. TRC A1. Huvudbrytare felaktig   blockerad.,Felkod 15040. TRC A1. Huvudbrytare felaktig - blockerad.,42 TRAKTIONSSTRÖMRIKTARE,18012844,4,,DUBBLETPOST,Dubblett av call C10410162 (Problem med VCB). /CF,,XTK
F26,F26001,2018-05-03,2018-09-04,LÖPVERK,Bricka och sprint borta till fångvajer boggi 3,Beställning gjord med Nils,244 LYFTSTOPP,18016473,4,,UTBYTT,Sprint och bricka monterad,,MUÅ
F26,F26001,2018-06-03,2018-09-07,VAGN,Värme backspeglar ur funktion,,126 BACKSPEGEL,18016938,4,,JUSTERAD,Kolskena slipad,,MUÅ
F26,F26001,2018-07-03,2018-04-05,BROMSSYSTEM,Indikerar slirning direkt man bromsar,Indikerar slirning direkt man bromsar,51 BROMSSTYRNING,18016975,4,,KONTROLLERAT,,,XTK
F26,F26001,2018-07-03,2018-09-07,CENTRAL STYRNING OCH KOMMUNIKATION,Tcms visar 10km/h för mycket  vilket innebär att man kör 10km/h,"Tcms visar 10km/h för mycket, vilket innebär att man kör 10km/h under sth hela   tiden. Detta innebär svårt att hålla tidtabellen.",81 FORDONETS INSTRUMENTERING OCH STYRNING,18016977,4,,KONTROLLERAT,Hjuldiameter hjul 4 justerad till 806 mm. Även ERTMS hjulvärden justerat. /CF.,,XTK
F26,F26001,2018-07-03,2018-06-09,VAGN,Brus och buller från båda dörrar i hytt A2,"Brus och buller från båda dörrar i hytt A2  TK (C10406693): ""Dörr 03 börjar tjuta rejält vid 160km/h. Behöver tätas"". /CF",13 UTVÄNDIGA DÖRRAR OCH FOTSTEG,18016983,4,,JUSTERAD,,,XTK
F26,F26001,3/14/2018,2018-04-05,INREDNING,Vattenläckage toa och bistro M1vid fyllning vatten,"Läckage vid fyllning vatten i M1.   Toa M1 är det röret vid vatten avstängningskranen som läcker.  Bistron är det vid en av tömningsventilerna (de svarta)som det läcker.  TK (C10428256): ""Luktar surt och dåligt i bistro och tjänstekupé, troligt till   följd av att inget färskvatten kan fyllas. Tömning beställd till drift för att   säkerställa tom gråvattentank"". /CF.",7 INREDNING,18018766,4,,DUBBLETPOST,,,MUÅ
F26,F26001,3/17/2018,3/30/2018,HJÄLPKRAFTSSYSTEM,Halva hjäkpkraften saknas enligt tcms,Halva hjäkpkraften saknas enligt tcms,63 ELEKTISK HJÄLPKRAFTSFÖRSÖRJNING,18019677,4,,DUBBLETPOST,Dubblett av call C10400560. /CF,,XTK
F26,F26001,3/17/2018,3/30/2018,VAGN,Kopplet helt öppet finns ingen skyddskåpa eller plast över. Blir,Kopplet helt öppet finns ingen skyddskåpa eller plast över. Blir säkert bra vid   nästa älgpåkörning,12 UTVÄNDIG UTRUSTNING,18019645,4,,DUBBLETPOST,Dubblett av call C10378130. /CF,,XTK
F26,F26001,3/17/2018,2018-01-04,TRAKTIONSUTRUSTNING,Kopplar ner A1 ibland utan felmeddelande  blir ryckig körning.,"Kopplar ner A1 ibland utan felmeddelande, blir ryckig körning.",43 TRAKTION,18019674,4,,DUBBLETPOST,Förmodligen fel p.g.a. VCB problem. (se call 10422414). /CF.,,XTK
F26,F26001,3/17/2018,4/13/2018,INREDNING,Varken signallampa eller den vanliga lampan i verktygsskåp lyser,Varken signallampa eller den vanliga lampan i verktygsskåp lyser. Inga   resevbatteri finns.  Verktyg och dyl. ska tillgodoses av TKAB. /CF.,71 INVÄNDIG UTRUSTNING,18019644,4,,INGEN ÅTGÄRD,Tkab skall bistå med verktyg och batterier,,XTK
F26,F26001,3/17/2018,2018-04-05,BROMSSYSTEM,Antifreeze startar inte i autoläge,Antifreeze startar inte i autoläge,51 BROMSSTYRNING,18019676,4,,KONTROLLERAT,,,XTK
F26,F26001,3/17/2018,2018-08-05,BROMSSYSTEM,Indikerar ingen broms på axel 1 i tcms. Bromsprov går igenom och,"Indikerar ingen broms på axel 1 i tcms. Bromsprov går igenom och inga   felmeddelanden.  EPAC1 felkod 2509: ""Driftbroms mindre fel"". /CF.",51 BROMSSTYRNING,18019647,4,,INSPEKTERAT,Kollat vid bromsprov både säk och mek och det är staplar på alla axlar,,XTK
F26,F26001,3/17/2018,2018-07-06,INREDNING,Indikerar reducerad kyleffekt 50% på tcms,Indikerar reducerad kyleffekt 50% på tcms,72 HVAC KLIMATANLÄGGNING,18019648,4,,KONTROLLERAT,,KLIMAT,XTK
F26,F26001,3/18/2018,3/30/2018,TRAKTIONSUTRUSTNING,Huvudbrytaren blockerad (1 verkstadsåterställning gjord),Huvudbrytaren blockerad (1 verkstadsåterställning gjord),43 TRAKTION,18019742,4,,DUBBLETPOST,Dubblett av call C10410162. /CF.,,XTK
F26,F26001,3/18/2018,2018-04-05,ENERGIFÖRSÖRJNING,Modul A1 permanent frånskiljd. VCB problem.,Modulen permanent frånskiljd. Detta efter att ha fått upp överström och   transformatorfel innan traktionsmodulen skiljdes ifrån.  Felkod 15040. TRC A1. Huvudbrytare felaktig - blockerad.,33 HUVUDTRANSFORMATOR,18019740,4,,KONTROLLERAT,,,XTK
F26,F26001,3/22/2018,3/30/2018,VAGN,Strålkastare A1   kortslutning,Strålkastare A1 - kortslutning,12 UTVÄNDIG UTRUSTNING,18021091,4,,KONTROLLERAT,Ingel fel funnet. /CF.,,XTK
F26,F26001,3/23/2018,3/30/2018,ENERGIFÖRSÖRJNING,Linjevoltmetern i A2 hytten fungerar ej. Står på 0 trots att det,Linjevoltmetern i A2-hytten fungerar ej. Står på 0 trots att det är spänning.,31 STRÖM- OCH LINJESPÄNNINGSSTRYRNING,18021370,4,,KONTROLLERAT,Ett följdfel p.g.a. traktionsenhet 3 är permanent frånskild (se call C10425284). /CF.,,XTK
F26,F26001,3/23/2018,4/17/2018,TRAKTIONSUTRUSTNING,B 15501 TRC A2 traktionsenhet 3 permanent frånskiljd. Traktionsm,B 15501 TRC A2 traktionsenhet 3 permanent frånskiljd. Traktionsmodul A2 frånkopp  lad. Reducerad hvac. Jag fick en massa fel med överspänning och linjevoltmetern   åkte upp och ned tills den fastnade på 0 å att det såg ut som att det var spänni  ngslöst. Insamband med detta tappade jag traktionsmodul A2.  Agate skiftad mellan A1 och A2 180321. Fel på traktionsenhet 3 registrerat två   dagar senare dvs felet verkar ha flyttats från A1 till A2. Loggar tagna från   MMAP och ligger i servern. Gick ej att häva traktionsblockeringen i A2 så tåget   fick gå men en traktionsgrupp och rensade loggar. Felet verkar ligga på något   Agatekort. Lars är inblandad och har koll. Måste kolla med Luther om vi har en   komplett Agate hemma eftersom det har lånats kort hit och dit lite hur som   helst. /CF.,43 TRAKTION,18021368,4,,UTBYTT,Agate utbytt.,,XTK
F26,F26001,3/26/2018,2018-09-04,CENTRAL STYRNING OCH KOMMUNIKATION,ATPCU FEL systemkrasch på väg mot Sundsvall,ATPCU FEL systemkrasch på väg mot Sundsvall,81 FORDONETS INSTRUMENTERING OCH STYRNING,18021732,4,,INSPEKTERAT,Inget fel funnet,,XTK
F26,F26001,3/27/2018,3/31/2018,TRAKTIONSUTRUSTNING,Kylvätska   varningsnivå A1. Modulen A2 redan frånskiljd.,Kylvätska - varningsnivå A1. Modulen A2 redan frånskiljd.,43 TRAKTION,18021955,4,,FYLLT PÅ,Kylvätska påfyllt. /CF.,,XTK
F26,F26001,3/29/2018,3/29/2018,ALLMÄN FORDONSINFORMATION,Fekalietömning och fyllning vatten,,0 ALLMÄN FORDONSINFORMATION,18022549,4,,RENGJORT,Fekalietömning,,MUÅ
F26,F26001,3/31/2018,2018-01-04,INREDNING,Luktar surt och dåligt i bistro och tjänstekupé  troligt till fö,"Luktar surt och dåligt i bistro och tjänstekupé, troligt till följd av att inget  färskvatten kan fyllas. Tömning beställd till drift för att säkerställa tom gråv  attentank.",75 VATTEN OCH SANITET,18023052,4,,DUBBLETPOST,Dubblett av call C10420442. /CF.,TOALETT,XTK
F26,F26001,3/31/2018,2018-09-04,"TÅGRADIO, ATP OCH SIGNALUTRUSTNING",Strålkastare A1  fel på glödtråd/kortslutning (13203).,Strålkastare A1: fel på glödtråd/kortslutning (13203).,"93 SIGNALUTRUSTNING, OPTISK OCH AKUSTISK",18023037,4,,UTBYTT,Lampor utbytta,,XTK
F26,F26001,3/31/2018,4/13/2018,INREDNING,Ficklampa A2 slut batteri.,Ficklampa A2 slut batteri.  Verktyg och dyl. ska tillgodoses av TKAB. /CF.,71 INVÄNDIG UTRUSTNING,18023036,4,,INGEN ÅTGÄRD,Tkab skall bistå med verktyg och batterier,,XTK
F26,F26001,2018-01-04,2018-09-04,INREDNING,A2 hytt  hållare till handmikrofon  höger  trasig.,"A2-hytt, hållare till handmikrofon, höger, trasig.",71 INVÄNDIG UTRUSTNING,18023081,4,,UTBYTT,Hållare utbytt,,XTK
F26,F26001,2018-01-04,2018-09-04,INREDNING,Ficklampa A2 behöver bytas batteri.,Ficklampa A2 behöver bytas batteri.,71 INVÄNDIG UTRUSTNING,18023082,4,,UTBYTT,Batteri utbytt,,XTK
F26,F26001,2018-01-04,2018-09-04,INREDNING,Luktar surt i bistro och tjänstekupé  troligt till följd av inge,"Luktar surt i bistro och tjänstekupé, troligt till följd av inget färskvatten.   Driften vet att M1 behöver tömmas för att säkerställa tom gråvattentank.",75 VATTEN OCH SANITET,18023083,4,,KONTROLLERAT,Hittar inget fel,TOALETT,XTK
F26,F26001,2018-01-04,2018-09-04,INREDNING,Spilldunken är nu slängd  fanns ingen ny under soffgruppen att e,"Spilldunken är nu slängd, fanns ingen ny under soffgruppen att ersätta med.   Verkstan menar att stanken måste komma därifrån ändå.",76 BISTRO,18023105,4,,UTBYTT,Ny spilldunk,,XTK
